property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,store room,pooja room,furnishing_type,luxury_category,floor_category
flat,vatva,0.16,2,2,0,New Property,540.0,0,0,unfurnished,Not available,Low Floor
house,motera,1.2,3,3,2,Relatively New,990.0,0,1,unfurnished,Medium,Low Floor
flat,chandkheda,0.7,3,3,2,Old Property,1382.0,0,0,unfurnished,Low,Low Floor
flat,satellite,2.0,4,4,1,Relatively New,2700.0,0,1,semifurnished,Medium,Mid Floor
flat,jagatpur,0.43,2,2,2,Relatively New,770.0,0,1,unfurnished,Medium,Mid Floor
house,narol,0.65,3,3,1,Old Property,810.0,0,0,furnished,Low,Low Floor
flat,south bopal,0.86,3,3,1,Under Construction,1093.0,1,0,unfurnished,Medium,Mid Floor
flat,koteshwar,0.8,3,3,1,Old Property,1975.0,0,0,unfurnished,Low,Mid Floor
house,isanpur,0.42,1,1,1,Old Property,1170.0,0,0,unfurnished,Not available,Low Floor
flat,new ranip,0.55,3,3,2,Moderately Old,1307.0,1,1,furnished,Medium,Mid Floor
flat,nikol,0.4,2,2,1,Moderately Old,1120.0,0,0,unfurnished,Medium,Mid Floor
house,science city,3.35,3,3,1,Relatively New,2970.0,1,1,unfurnished,High,Low Floor
flat,memnagar,0.5,2,2,2,Old Property,1100.0,0,0,furnished,High,Low Floor
flat,south bopal,0.67,3,2,1,Relatively New,1452.0,1,0,unfurnished,Low,Mid Floor
flat,vatva,0.25,1,1,3,Relatively New,738.0,0,0,furnished,Medium,Low Floor
house,maninagar,4.0,4,3,1,Old Property,2700.0,0,0,unfurnished,Not available,Low Floor
flat,new ranip,0.42,2,2,2,Relatively New,810.0,0,0,unfurnished,Low,Low Floor
flat,gota,0.76,3,3,1,Relatively New,1316.0,1,0,unfurnished,High,Mid Floor
flat,gota,0.67,2,2,3,Relatively New,635.0,0,0,semifurnished,Medium,High Floor
house,shilaj,13.0,4,5,3,Old Property,10620.0,0,0,unfurnished,Low,Low Floor
flat,naroda,0.15,1,1,0,New Property,585.0,0,0,unfurnished,Low,Mid Floor
flat,jagatpur,0.51,2,2,1,Under Construction,1000.0,1,0,unfurnished,Medium,Mid Floor
house,memnagar,1.2,4,3,1,Old Property,2000.0,0,0,semifurnished,Low,Mid Floor
flat,krishna nagar,0.52,4,2,1,Old Property,1395.0,0,0,unfurnished,Low,Low Floor
flat,vastral,0.19,1,1,1,Moderately Old,720.0,0,0,unfurnished,Low,Mid Floor
flat,science city,2.3,4,4,1,Relatively New,3195.0,1,1,semifurnished,High,Low Floor
flat,odhav,0.23,1,1,1,Relatively New,794.0,0,0,unfurnished,Medium,Mid Floor
flat,vatva,0.2,2,2,2,Moderately Old,990.0,0,0,unfurnished,Low,Low Floor
flat,shela,0.6,3,3,1,Relatively New,1095.0,0,1,unfurnished,Medium,Mid Floor
flat,vastral,0.44,2,2,2,Relatively New,719.0,0,0,unfurnished,Low,Mid Floor
house,thaltej,3.0,4,4,3,New Property,2025.0,1,1,unfurnished,High,Low Floor
flat,naroda,0.42,3,3,2,Moderately Old,1630.0,0,0,furnished,Medium,Mid Floor
flat,satellite,5.45,4,4,1,Under Construction,4194.0,1,0,unfurnished,Medium,Mid Floor
flat,shela,0.58,3,3,1,Relatively New,1580.0,0,1,unfurnished,Medium,Mid Floor
flat,sola,1.4,3,3,3,Moderately Old,1475.0,0,0,semifurnished,Medium,Low Floor
flat,gota,0.68,2,2,1,Moderately Old,1404.0,1,0,unfurnished,Low,Mid Floor
flat,gota,1.1,3,3,2,Relatively New,1962.0,1,1,semifurnished,Medium,Low Floor
flat,satellite,1.65,3,3,1,New Property,1204.0,1,1,unfurnished,Medium,Mid Floor
flat,ghatlodia,0.55,2,2,3,Moderately Old,1170.0,0,0,furnished,Not available,Low Floor
flat,nikol,0.31,2,2,3,Moderately Old,1062.0,0,0,furnished,Medium,Low Floor
flat,vastrapur,1.81,3,3,2,New Property,2490.0,1,1,unfurnished,High,Mid Floor
house,shela,3.33,3,4,2,Moderately Old,2700.0,0,1,furnished,Medium,Low Floor
flat,south bopal,0.63,3,3,2,Under Construction,1411.0,0,0,unfurnished,Medium,High Floor
flat,new ranip,0.65,3,2,3,Moderately Old,1575.0,0,0,unfurnished,Low,Low Floor
flat,jagatpur,0.65,3,3,1,Relatively New,1141.0,1,1,unfurnished,High,Mid Floor
flat,nikol,0.42,2,1,0,Moderately Old,1215.0,0,0,unfurnished,Not available,Low Floor
flat,south bopal,0.74,3,3,1,Relatively New,1119.0,1,1,unfurnished,Medium,Mid Floor
flat,bodakdev,4.5,4,4,1,Relatively New,2853.0,1,0,unfurnished,Medium,Mid Floor
house,science city,3.25,4,4,2,Moderately Old,2520.0,1,1,semifurnished,Medium,Low Floor
flat,south bopal,0.65,2,2,1,Relatively New,1085.0,1,1,unfurnished,Medium,Low Floor
house,shilaj,4.8,4,4,2,Under Construction,3150.0,0,1,unfurnished,Medium,Low Floor
flat,vastral,0.62,3,2,3,Old Property,1456.0,0,0,unfurnished,Not available,Low Floor
house,thaltej,2.65,4,4,3,Relatively New,1800.0,1,1,semifurnished,Medium,Mid Floor
flat,vaishnodevi circle,0.53,2,2,1,Relatively New,564.0,0,0,unfurnished,Not available,Mid Floor
house,narol,0.75,4,4,2,Relatively New,2700.0,0,0,unfurnished,Low,Low Floor
flat,naroda,0.28,2,2,1,Moderately Old,1265.0,0,0,unfurnished,Low,Mid Floor
flat,south bopal,0.66,3,3,3,Relatively New,1050.0,0,1,furnished,Medium,Low Floor
house,maninagar,2.0,4,3,3,Old Property,1980.0,1,0,semifurnished,Low,Low Floor
house,chandkheda,2.1,4,5,2,Old Property,2033.0,0,1,furnished,Low,Low Floor
flat,gota,0.61,2,2,1,Relatively New,1471.0,1,0,unfurnished,Low,Mid Floor
flat,satellite,0.75,3,3,3,Old Property,1471.0,0,0,unfurnished,Medium,Mid Floor
flat,satellite,0.55,2,2,1,Old Property,1035.0,0,0,semifurnished,Medium,Mid Floor
flat,satellite,1.9,3,3,2,Moderately Old,2150.0,0,1,semifurnished,High,Mid Floor
flat,gota,1.05,3,3,1,Relatively New,1648.0,0,0,unfurnished,Medium,Mid Floor
house,thaltej,5.0,4,4,1,Old Property,2682.0,1,1,semifurnished,Medium,Low Floor
house,shilaj,7.25,4,4,3+,Relatively New,4725.0,1,1,furnished,Medium,Low Floor
flat,vaishnodevi circle,0.61,3,3,0,New Property,1193.0,1,0,unfurnished,Medium,Mid Floor
house,thaltej,2.25,4,3,1,Old Property,1575.0,0,0,unfurnished,Not available,Low Floor
house,vastral,1.8,4,4,2,Moderately Old,1341.0,0,1,unfurnished,Medium,Mid Floor
flat,vastrapur,1.54,3,3,1,New Property,1886.0,0,1,unfurnished,Medium,Mid Floor
flat,bhadaj,0.7,3,3,0,Relatively New,1100.0,1,1,unfurnished,Medium,Mid Floor
flat,new ranip,0.65,3,2,1,Old Property,1305.0,0,0,furnished,Medium,Mid Floor
flat,new ranip,0.75,2,2,2,Moderately Old,1602.0,0,0,furnished,Low,Mid Floor
flat,vastral,0.31,2,2,1,Moderately Old,1025.0,0,0,unfurnished,Not available,Mid Floor
flat,gota,0.52,2,2,2,Moderately Old,1440.0,1,1,unfurnished,High,Mid Floor
flat,bodakdev,3.75,4,4,1,Relatively New,3461.0,1,1,unfurnished,Medium,Mid Floor
flat,gota,0.65,2,2,2,Moderately Old,1008.0,0,0,unfurnished,Medium,Mid Floor
flat,jodhpur,0.72,3,2,3,Old Property,1395.0,1,0,unfurnished,Medium,Mid Floor
flat,gota,0.86,3,3,1,Under Construction,1152.0,1,1,unfurnished,High,Mid Floor
house,thaltej,3.8,3,3,1,Moderately Old,2970.0,1,1,unfurnished,Medium,Low Floor
flat,jagatpur,0.85,3,3,1,Under Construction,1510.0,0,0,unfurnished,Not available,High Floor
flat,vastral,0.55,2,2,1,New Property,1031.0,0,0,unfurnished,Not available,Mid Floor
flat,chandkheda,0.29,1,1,0,Moderately Old,900.0,0,0,unfurnished,Not available,Mid Floor
flat,gota,0.65,2,2,2,Moderately Old,1179.0,1,0,semifurnished,Medium,Low Floor
flat,bapunagar,0.17,1,1,1,Moderately Old,540.0,0,0,unfurnished,Low,Mid Floor
house,nava naroda,0.23,1,1,1,Old Property,360.0,0,0,unfurnished,Low,Low Floor
flat,ghuma,0.72,3,3,2,Under Construction,772.0,0,0,unfurnished,Medium,Mid Floor
house,koteshwar,1.85,4,4,2,Moderately Old,1394.0,0,0,unfurnished,Medium,Low Floor
flat,shela,0.66,2,2,2,New Property,1706.0,0,0,furnished,Medium,High Floor
flat,new ranip,0.65,2,2,1,Moderately Old,1242.0,1,0,furnished,Low,Mid Floor
flat,satellite,0.58,2,2,1,Old Property,1080.0,1,0,semifurnished,Medium,Mid Floor
flat,gurukul,0.6,2,2,1,Old Property,1186.0,1,0,unfurnished,Low,Mid Floor
house,prahlad nagar,7.5,4,4,2,Old Property,5220.0,1,1,furnished,Medium,Mid Floor
flat,chandkheda,0.43,2,2,2,Relatively New,1206.0,0,0,unfurnished,Not available,Low Floor
flat,vastral,0.32,2,2,2,Moderately Old,1008.0,0,0,unfurnished,Low,Mid Floor
flat,vastral,0.32,2,2,1,Relatively New,1161.0,0,0,unfurnished,Low,Mid Floor
flat,naroda,0.34,2,2,1,New Property,972.0,0,0,unfurnished,Medium,Mid Floor
house,bhadaj,2.65,3,2,2,Relatively New,2425.0,1,1,semifurnished,High,Low Floor
flat,vaishnodevi circle,0.53,3,2,1,Relatively New,1195.0,0,0,unfurnished,Not available,Mid Floor
flat,vatva,0.48,3,3,1,Relatively New,1404.0,0,0,unfurnished,Not available,Mid Floor
flat,gota,1.81,4,4,2,Under Construction,2700.0,0,1,unfurnished,Medium,High Floor
flat,shela,0.41,2,2,0,Relatively New,1007.0,1,1,unfurnished,High,Mid Floor
house,maninagar,0.55,2,1,0,Old Property,1024.0,0,0,unfurnished,Low,Low Floor
flat,science city,2.9,3,3,2,Relatively New,3222.0,0,1,semifurnished,Medium,Low Floor
house,bapunagar,0.8,3,3,0,Old Property,1200.0,0,0,unfurnished,Not available,Low Floor
flat,south bopal,0.63,3,3,1,Under Construction,1362.0,1,1,unfurnished,High,Mid Floor
flat,maninagar,0.26,1,1,1,Relatively New,567.0,0,0,unfurnished,Medium,High Floor
flat,south bopal,0.69,3,3,1,Under Construction,1301.0,1,0,unfurnished,Medium,Mid Floor
flat,science city,2.4,4,4,1,New Property,3240.0,0,1,unfurnished,High,High Floor
flat,shela,1.31,3,3,1,Under Construction,1694.0,0,1,unfurnished,High,Mid Floor
flat,shela,0.75,3,3,1,Relatively New,1700.0,0,0,unfurnished,Medium,Mid Floor
flat,paldi,1.05,3,2,2,Moderately Old,1530.0,1,1,semifurnished,High,Mid Floor
flat,motera,0.68,3,3,1,Under Construction,999.0,0,0,unfurnished,Low,Low Floor
flat,ghuma,0.34,2,2,2,Old Property,635.0,0,0,unfurnished,Low,Mid Floor
house,khokhara,0.85,2,1,1,Old Property,1197.0,0,0,unfurnished,Low,Low Floor
flat,bodakdev,5.27,4,4,2,Under Construction,4369.0,0,0,unfurnished,High,High Floor
house,bapunagar,0.62,3,1,0,Old Property,990.0,0,0,unfurnished,Not available,Low Floor
flat,gota,0.51,2,2,0,Relatively New,816.0,0,1,unfurnished,Medium,Mid Floor
flat,shela,1.36,4,4,1,Relatively New,1965.0,1,1,unfurnished,High,Mid Floor
flat,chandkheda,1.5,3,3,3,Relatively New,2178.0,0,0,furnished,Medium,Mid Floor
flat,chandkheda,0.38,2,2,1,Relatively New,990.0,0,0,unfurnished,Low,Mid Floor
house,shela,8.65,5,5,2,Under Construction,8334.0,1,1,unfurnished,High,Low Floor
flat,nava naroda,0.27,2,2,2,Moderately Old,1009.0,0,0,unfurnished,Medium,Low Floor
flat,ghuma,0.57,3,3,3+,Under Construction,855.0,1,0,unfurnished,Medium,Mid Floor
flat,south bopal,0.56,2,2,1,Relatively New,979.0,1,1,unfurnished,High,High Floor
flat,south bopal,0.8,3,3,1,New Property,1322.0,1,1,unfurnished,High,Low Floor
flat,maninagar,0.54,2,2,2,Old Property,853.0,0,0,furnished,Not available,Mid Floor
flat,new ranip,0.47,2,2,3,Old Property,1008.0,0,0,unfurnished,Low,Mid Floor
flat,motera,0.68,2,2,1,Relatively New,1315.0,0,0,unfurnished,Not available,High Floor
flat,south bopal,0.61,3,3,1,Relatively New,1142.0,0,0,unfurnished,Medium,Mid Floor
flat,motera,0.68,3,3,2,Relatively New,2200.0,1,1,unfurnished,High,Mid Floor
house,gota,1.05,1,1,1,Moderately Old,1125.0,0,0,furnished,Not available,Low Floor
house,maninagar,1.25,3,3,3+,Old Property,1080.0,0,0,unfurnished,Not available,Low Floor
flat,south bopal,0.6,2,2,3+,Relatively New,1374.0,0,0,unfurnished,Medium,Low Floor
flat,south bopal,0.7,3,3,1,Moderately Old,1881.0,0,1,unfurnished,Medium,Mid Floor
flat,vastral,0.32,2,2,1,Relatively New,963.0,0,0,unfurnished,Not available,Mid Floor
flat,science city,1.2,3,3,1,Moderately Old,1154.0,1,0,semifurnished,Medium,Mid Floor
house,vastral,0.6,3,3,2,Old Property,900.0,0,0,unfurnished,Low,Low Floor
house,bhadaj,3.0,4,4,3,Under Construction,1980.0,1,1,unfurnished,High,Low Floor
flat,motera,0.8,3,3,3,Moderately Old,1935.0,1,0,semifurnished,Low,Mid Floor
flat,vaishnodevi circle,0.9,3,3,2,Relatively New,1548.0,1,0,unfurnished,Low,Mid Floor
house,shilaj,3.25,7,8,2,Moderately Old,5040.0,0,0,furnished,Medium,Mid Floor
flat,new maninagar,0.23,1,1,1,Moderately Old,581.0,0,0,unfurnished,Low,Mid Floor
flat,narol,0.35,2,2,1,Relatively New,1044.0,0,0,unfurnished,Low,Low Floor
flat,navrangpura,1.5,3,4,3,Old Property,1793.0,0,1,semifurnished,Medium,Mid Floor
flat,chandkheda,1.45,4,4,2,Relatively New,2342.0,1,0,furnished,Medium,Mid Floor
flat,vaishnodevi circle,0.77,3,3,1,Relatively New,1337.0,0,0,unfurnished,Medium,High Floor
flat,bodakdev,3.75,5,5,1,Relatively New,3442.0,1,0,unfurnished,Medium,Low Floor
flat,gurukul,1.6,3,3,1,Relatively New,1830.0,0,0,furnished,Low,Mid Floor
flat,khokhara,0.64,2,2,1,Relatively New,1397.0,0,0,unfurnished,Medium,Mid Floor
flat,maninagar,0.75,3,2,3,Old Property,1152.0,0,0,furnished,Medium,Low Floor
flat,south bopal,0.48,2,2,1,Relatively New,750.0,0,0,unfurnished,Low,High Floor
house,sg highway,2.0,3,3,2,Old Property,1602.0,1,1,unfurnished,Medium,Low Floor
flat,vastral,0.19,1,1,1,Old Property,720.0,0,0,unfurnished,Medium,Mid Floor
flat,satellite,4.75,4,5,1,Relatively New,3013.0,0,1,unfurnished,Medium,Low Floor
house,thaltej,1.51,4,2,3,Old Property,1980.0,0,0,unfurnished,Not available,Low Floor
flat,vastral,0.29,2,2,1,Relatively New,1035.0,0,0,unfurnished,Medium,Mid Floor
flat,satellite,0.3,1,1,1,Old Property,588.0,0,0,unfurnished,Not available,Mid Floor
flat,south bopal,0.55,2,2,0,Moderately Old,979.0,0,0,unfurnished,Medium,High Floor
flat,nikol,0.4,2,2,3,Moderately Old,1161.0,0,0,furnished,Low,Mid Floor
flat,naroda,0.35,2,2,1,New Property,700.0,0,0,furnished,Medium,High Floor
flat,bodakdev,3.98,5,4,2,Relatively New,4461.0,1,0,unfurnished,Low,Mid Floor
flat,satellite,3.3,4,4,2,Old Property,4050.0,0,1,furnished,Low,Mid Floor
flat,new ranip,0.49,2,2,1,Moderately Old,990.0,0,1,unfurnished,Low,Mid Floor
flat,new ranip,0.55,3,3,2,Moderately Old,1542.0,1,1,unfurnished,Low,Mid Floor
flat,gota,0.47,2,2,1,Old Property,1224.0,1,0,unfurnished,Low,Low Floor
flat,south bopal,0.69,3,3,1,Relatively New,1100.0,0,0,unfurnished,Medium,Mid Floor
flat,gota,0.43,2,2,2,Relatively New,1143.0,1,0,furnished,Medium,Mid Floor
flat,bodakdev,1.99,4,4,3+,Old Property,2577.0,0,0,furnished,Medium,Mid Floor
house,new ranip,1.5,3,4,2,Old Property,1620.0,1,0,unfurnished,Low,Low Floor
house,bapunagar,1.1,4,5,2,Old Property,1106.0,0,0,unfurnished,Low,Mid Floor
flat,ghuma,0.45,2,2,3,Relatively New,1143.0,0,0,unfurnished,Medium,Mid Floor
flat,gota,0.65,2,2,1,Moderately Old,873.0,1,0,furnished,Medium,Mid Floor
house,narol,0.81,3,3,1,Relatively New,1800.0,0,1,furnished,Low,Low Floor
flat,gota,0.74,3,3,1,Relatively New,1050.0,0,0,unfurnished,Medium,Mid Floor
flat,new ranip,0.34,2,2,1,Relatively New,1062.0,0,0,unfurnished,Not available,Mid Floor
house,sola,1.2,1,1,2,Moderately Old,900.0,0,0,unfurnished,Not available,Low Floor
flat,jagatpur,0.85,3,3,1,Relatively New,1436.0,1,0,unfurnished,Medium,Mid Floor
flat,south bopal,0.63,3,3,1,Under Construction,1750.0,0,1,unfurnished,Medium,Mid Floor
flat,gota,0.6,2,2,1,Relatively New,765.0,0,0,unfurnished,Medium,Mid Floor
flat,motera,0.65,2,2,2,Relatively New,1138.0,0,0,unfurnished,Medium,Mid Floor
flat,nikol,1.3,3,3,1,New Property,2824.0,0,0,semifurnished,Medium,Mid Floor
flat,shela,1.05,3,3,1,Relatively New,1694.0,1,1,unfurnished,Medium,Mid Floor
flat,gota,0.72,3,3,3,Moderately Old,1980.0,0,0,furnished,Low,High Floor
flat,bodakdev,1.9,4,4,2,Old Property,4315.0,1,1,furnished,High,Mid Floor
flat,shela,0.67,3,3,1,New Property,1000.0,0,0,furnished,Medium,Mid Floor
flat,science city,1.5,3,3,1,Moderately Old,2070.0,0,1,furnished,Medium,Mid Floor
flat,vastral,0.25,2,2,1,Moderately Old,1112.0,0,0,unfurnished,Low,Low Floor
house,sg highway,2.25,4,4,1,Moderately Old,2115.0,0,0,unfurnished,Low,Low Floor
house,shela,3.3,4,4,1,Relatively New,2313.0,1,0,unfurnished,Medium,Mid Floor
flat,gota,0.98,3,3,2,Moderately Old,1791.0,0,0,furnished,Low,Mid Floor
flat,satellite,0.54,2,2,2,Old Property,1035.0,0,0,unfurnished,Low,Mid Floor
flat,vastrapur,1.5,3,3,1,Relatively New,1285.0,0,1,semifurnished,Medium,Mid Floor
flat,vastral,0.38,2,2,2,Moderately Old,900.0,0,0,unfurnished,Low,Mid Floor
house,science city,6.25,3,3,1,Relatively New,4320.0,0,1,furnished,Low,Mid Floor
flat,paldi,1.1,3,3,2,Relatively New,2372.0,0,0,unfurnished,Medium,Mid Floor
flat,south bopal,0.56,2,2,0,New Property,1058.0,0,0,unfurnished,Medium,Mid Floor
flat,new ranip,0.45,2,2,2,Moderately Old,1152.0,0,0,unfurnished,Not available,Mid Floor
flat,motera,0.6,2,2,1,Relatively New,1000.0,0,0,unfurnished,Not available,Mid Floor
flat,nikol,0.24,1,1,1,Moderately Old,720.0,0,0,unfurnished,Medium,Low Floor
flat,shela,0.67,3,3,1,Relatively New,961.0,1,0,unfurnished,Medium,High Floor
flat,south bopal,0.6,3,3,2,Relatively New,1755.0,1,0,unfurnished,Medium,Mid Floor
flat,vastrapur,0.52,2,2,2,Old Property,1035.0,1,0,furnished,Low,Mid Floor
flat,thaltej,0.68,3,3,1,Old Property,2160.0,0,0,furnished,Not available,Mid Floor
flat,naroda,0.6,3,3,1,Relatively New,1959.0,0,0,furnished,Low,Low Floor
flat,paldi,1.0,3,3,3,Old Property,2059.0,0,0,furnished,Low,Mid Floor
flat,paldi,0.5,2,2,1,Old Property,864.0,0,0,furnished,Low,Mid Floor
house,vastral,0.85,3,3,2,Relatively New,1125.0,0,0,unfurnished,Not available,Low Floor
flat,satellite,0.75,2,2,2,Old Property,1000.0,0,0,semifurnished,Low,Mid Floor
flat,shilaj,0.8,3,3,1,New Property,1569.0,0,1,semifurnished,High,Mid Floor
flat,chandkheda,0.18,1,1,2,Old Property,364.0,0,0,unfurnished,Low,Mid Floor
flat,jagatpur,0.45,2,2,1,Relatively New,1050.0,1,1,unfurnished,High,Mid Floor
flat,south bopal,0.71,3,3,1,Relatively New,1290.0,0,0,unfurnished,Medium,High Floor
house,odhav,0.55,3,2,0,Moderately Old,630.0,0,0,unfurnished,Not available,Low Floor
house,thaltej,10.0,5,5,2,Moderately Old,4635.0,1,1,semifurnished,Medium,Mid Floor
flat,south bopal,0.62,3,3,1,Under Construction,1139.0,0,1,unfurnished,Medium,Mid Floor
flat,gota,0.61,2,2,1,Moderately Old,1166.0,0,0,furnished,Medium,Mid Floor
flat,gota,0.75,2,2,1,Relatively New,1271.0,1,1,semifurnished,High,High Floor
house,motera,3.35,5,5,1,Old Property,2565.0,0,1,semifurnished,High,Mid Floor
house,bodakdev,4.75,4,4,2,Moderately Old,1800.0,0,1,furnished,Not available,Low Floor
flat,jagatpur,0.7,3,3,1,Moderately Old,1307.0,1,0,furnished,Medium,Low Floor
flat,jagatpur,0.49,2,2,0,Under Construction,800.0,0,0,unfurnished,Medium,Mid Floor
flat,shela,0.53,2,2,1,Relatively New,763.0,0,0,unfurnished,High,High Floor
flat,south bopal,0.55,2,2,2,Relatively New,1029.0,1,0,unfurnished,Medium,Mid Floor
flat,bodakdev,5.2,4,4,2,Under Construction,5472.0,1,0,unfurnished,Medium,Mid Floor
flat,motera,0.65,2,2,1,Relatively New,1408.0,0,0,unfurnished,Medium,Mid Floor
flat,gota,1.35,3,3,1,Relatively New,1770.0,1,1,unfurnished,High,Mid Floor
flat,bodakdev,3.5,4,4,1,Moderately Old,3201.0,1,1,furnished,Medium,Low Floor
house,bhadaj,3.15,4,4,1,Relatively New,2646.0,1,1,unfurnished,High,Mid Floor
flat,maninagar,0.44,2,1,1,Old Property,1112.0,0,0,unfurnished,Low,Low Floor
house,science city,3.51,4,4,2,Relatively New,2475.0,1,1,furnished,High,Low Floor
flat,gota,0.5,2,1,1,Moderately Old,1170.0,0,0,unfurnished,Low,Mid Floor
flat,shela,1.73,4,4,2,Relatively New,2360.0,0,0,unfurnished,Medium,Mid Floor
house,naroda,0.3,2,1,1,Old Property,450.0,0,0,unfurnished,Not available,Low Floor
flat,gota,0.86,3,3,1,Relatively New,1935.0,0,0,unfurnished,Medium,Mid Floor
flat,sola,1.42,2,2,0,Relatively New,2668.0,0,0,unfurnished,Not available,Mid Floor
flat,bodakdev,3.17,4,4,1,Under Construction,3665.0,0,1,unfurnished,Medium,Mid Floor
flat,maninagar,0.65,2,2,3,Old Property,1216.0,0,0,unfurnished,Low,Mid Floor
flat,nikol,0.65,3,3,3+,Moderately Old,1831.0,0,0,furnished,Low,Mid Floor
flat,chandkheda,0.75,3,3,1,Relatively New,1316.0,1,0,unfurnished,Medium,Mid Floor
flat,motera,0.75,3,3,1,Relatively New,972.0,0,1,unfurnished,Medium,Mid Floor
flat,bodakdev,2.43,4,4,1,New Property,2470.0,0,1,unfurnished,High,Low Floor
flat,vaishnodevi circle,2.5,4,6,2,Relatively New,2886.0,0,1,unfurnished,Medium,Mid Floor
flat,vastral,0.35,2,2,2,Moderately Old,859.0,0,0,unfurnished,Not available,Mid Floor
flat,vatva,0.15,2,2,1,Moderately Old,582.0,0,0,unfurnished,Medium,Low Floor
flat,gota,0.56,2,2,1,Relatively New,948.0,0,0,unfurnished,Medium,Mid Floor
flat,maninagar,0.43,2,2,1,Old Property,864.0,0,0,unfurnished,Low,Low Floor
flat,vastral,0.6,3,3,1,Moderately Old,1584.0,0,0,unfurnished,Not available,High Floor
flat,gota,0.55,2,2,1,Relatively New,978.0,1,0,unfurnished,Medium,Mid Floor
flat,motera,0.64,3,3,2,Moderately Old,1044.0,0,0,unfurnished,Medium,Low Floor
house,south bopal,2.51,4,4,1,New Property,1800.0,1,1,unfurnished,High,Low Floor
flat,south bopal,1.51,3,4,1,Relatively New,2350.0,0,1,furnished,Medium,Mid Floor
house,bapunagar,0.52,2,2,0,Old Property,1080.0,0,0,unfurnished,Not available,Low Floor
house,maninagar,0.95,3,3,2,Old Property,1599.0,0,0,unfurnished,Not available,Low Floor
flat,nava naroda,0.26,2,2,2,Relatively New,1009.0,0,0,unfurnished,Not available,Mid Floor
house,thaltej,2.8,4,4,1,Old Property,9864.0,0,1,semifurnished,Medium,Mid Floor
house,khokhara,0.18,1,1,0,Old Property,341.0,0,0,unfurnished,Not available,Low Floor
flat,gota,0.55,2,2,2,Old Property,990.0,0,1,unfurnished,Low,Mid Floor
flat,ghuma,0.78,3,3,1,Under Construction,2000.0,0,0,unfurnished,Medium,Low Floor
flat,navrangpura,1.65,3,3,0,Old Property,1938.0,1,0,unfurnished,Low,Low Floor
flat,jodhpur,1.0,3,2,2,Moderately Old,1200.0,0,0,unfurnished,Low,Mid Floor
flat,satellite,2.75,4,4,1,Relatively New,2653.0,0,0,furnished,Medium,High Floor
flat,gota,0.98,3,3,1,Moderately Old,1680.0,1,0,unfurnished,Medium,Mid Floor
flat,isanpur,0.28,1,1,2,Old Property,859.0,0,0,furnished,Low,Low Floor
flat,memnagar,0.42,2,2,2,Old Property,855.0,0,0,unfurnished,Medium,Mid Floor
house,new ranip,1.05,4,3,0,Old Property,1250.0,0,0,unfurnished,Not available,Low Floor
flat,bodakdev,0.95,3,3,2,Old Property,1659.0,1,1,unfurnished,Low,Mid Floor
flat,jagatpur,0.3,1,1,1,Relatively New,378.0,0,0,furnished,Medium,Low Floor
house,ghuma,0.55,4,4,1,Moderately Old,1170.0,0,0,unfurnished,Not available,Mid Floor
house,maninagar,0.85,3,3,2,Old Property,1350.0,0,0,unfurnished,Not available,Low Floor
flat,nikol,0.44,2,2,2,Relatively New,647.0,0,0,furnished,Medium,Low Floor
flat,shela,0.73,3,3,0,New Property,1373.0,0,0,unfurnished,Low,Mid Floor
house,thaltej,15.0,5,5,3+,Moderately Old,7488.0,0,1,furnished,Low,Mid Floor
house,south bopal,3.1,3,3,2,Old Property,2745.0,1,1,unfurnished,Medium,Low Floor
flat,nikol,0.49,2,2,2,Old Property,1278.0,0,0,furnished,Low,Low Floor
house,isanpur,0.78,2,2,0,Moderately Old,1207.0,0,0,unfurnished,Not available,Low Floor
flat,bhadaj,0.72,3,3,2,New Property,1485.0,0,1,unfurnished,Medium,Low Floor
flat,nikol,0.49,2,2,1,Relatively New,1046.0,0,0,furnished,Medium,Low Floor
flat,motera,0.29,1,1,1,Moderately Old,619.0,0,0,unfurnished,Medium,Low Floor
flat,new ranip,0.42,2,2,2,Old Property,941.0,0,0,unfurnished,Medium,Mid Floor
house,chandkheda,1.25,4,3,3,Old Property,1305.0,0,0,furnished,Low,Low Floor
flat,motera,0.68,3,3,1,Under Construction,1000.0,0,0,unfurnished,Low,Mid Floor
house,satellite,2.35,4,3,2,Moderately Old,2647.0,1,1,semifurnished,High,Low Floor
flat,satellite,0.57,2,2,2,Old Property,945.0,0,0,unfurnished,Low,Low Floor
flat,gota,0.61,3,3,3,Old Property,1382.0,0,0,furnished,Medium,Mid Floor
flat,vastral,0.29,2,2,2,Moderately Old,1569.0,0,0,unfurnished,Medium,Mid Floor
flat,chandkheda,0.95,4,3,1,Relatively New,2234.0,0,0,furnished,Low,Mid Floor
flat,nikol,0.22,1,1,0,Moderately Old,570.0,0,0,furnished,Medium,Mid Floor
flat,jodhpur,2.82,4,4,1,Under Construction,2875.0,1,0,unfurnished,Medium,Low Floor
house,shela,8.5,4,5,3,New Property,7893.0,0,1,unfurnished,High,Low Floor
flat,nikol,0.23,2,1,1,Moderately Old,896.0,0,0,unfurnished,Not available,Mid Floor
flat,gota,0.78,3,3,2,Moderately Old,2329.0,0,1,unfurnished,Medium,Low Floor
